,name,latitude,longitude,address,state,loopcheck
0,Chick-fil-A,39.0344196,-94.580956,5100 Cherry St Ste 216 Student Union Kansas City MO 64110,MO,Kansas City MO
1,Go-Chicken-Go,39.0341525,-94.57304493,5101 Troost Ave Kansas City MO 64110,MO,Kansas City MO
2,Raising Cane's Chicken Fingers,39.053248,-94.593906,4040 Mill St Kansas City MO 64111,MO,Kansas City MO
3,Unforked,39.0829041,-94.58254362,2450 Grand Blvd Kansas City MO 64108,MO,Kansas City MO
4,Harold's Drive-In,39.10516,-94.56526,1337 Admiral Blvd Kansas City MO 64106,MO,Kansas City MO
5,Tasty's,38.95378806,-94.50739286,9425 Blue Ridge Blvd Kansas City MO 64138,MO,Kansas City MO
6,Steak'M Take'M,38.9878799,-94.57602,7702 Troost Ave Kansas City MO 64131,MO,Kansas City MO
7,Chick-fil-A,38.97337,-94.6077795,8551 State Line Rd Kansas City MO 64114,MO,Kansas City MO
8,Town Topic,39.08848471,-94.58882272,2021 Broadway St Kansas City MO 64108,MO,Kansas City MO
9,In A Tub,39.16698837,-94.57720184,4000 N Oak Trafficway Kansas City MO 64116,MO,Kansas City MO
10,Culver's,38.983651,-94.60780422,7953 State Line Rd Kansas City MO 64114,MO,Kansas City MO
11,Pancho's Mexican Food,39.06242,-94.58617,3540 Main St Kansas City MO 64111,MO,Kansas City MO
12,Winstead's Steakburger,39.04177856,-94.5855484,101 Emanuel Cleaver Ii Blvd Kansas City MO 64112,MO,Kansas City MO
13,Chipotle Mexican Grill,39.097373,-94.582478,1370 Walnut St Kansas City MO 64106,MO,Kansas City MO
14,Chick-fil-A,39.2461924,-94.6539813,6501 NW Barry Rd Kansas City MO 64154,MO,Kansas City MO
15,LC's Hamburgers,39.234207,-94.657218,7612 NW Prairie View Rd Kansas City MO 64151,MO,Kansas City MO
16,Longboards wraps & bowls,39.20802,-94.57574,6269 N Oak Trfy Kansas City MO 64118,MO,Kansas City MO
17,China Feast,39.09835,-94.54485,3119 E 12th St Kansas City MO 64127,MO,Kansas City MO
18,Texas Toms,39.16745355,-94.52017833,5018 NE Parvin Rd Kansas City MO 64117,MO,Kansas City MO
19,Burger King,39.097561,-94.582434,1350 Walnut St Kansas City MO 64106,MO,Kansas City MO
20,Paul's Drive In,38.93408,-94.5086,10424 Blue Ridge Blvd Kansas City MO 64134,MO,Kansas City MO
21,Raising Cane's Chicken Fingers,39.257203,-94.649011,8771 N Ambassador Dr Kansas City MO 64154,MO,Kansas City MO
22,Jimmy John's,39.0851882,-94.5809296,2345 Grand Blvd Ste 103 Kansas City MO 64108,MO,Kansas City MO
23,TikiTaco,39.0574236,-94.6056076,1710 W 39th St Kansas City MO 64111,MO,Kansas City MO
24,HiBoy Drive-In,39.06081726,-94.47208691,3424 S Blue Ridge Cut Off Independence MO 64055,MO,Kansas City MO
25,Wings N Things Express,39.02155304,-94.57448578,5800 Troost Kansas City MO 64110,MO,Kansas City MO
26,Freddy's Frozen Custard & Steakburgers,39.18632375,-94.57681686,5150 N Oak Trfw Kansas City MO 64118,MO,Kansas City MO
27,Culver's,39.2103351,-94.6498445,5901 NW 64th St Kansas City MO 64151,MO,Kansas City MO
28,Wendy's,39.070275,-94.585725,3118 Main St. Kansas City MO 64111,MO,Kansas City MO
29,Twisted Fresh,39.209328,-94.6516452,6131 NW 63rd Ter Kansas City MO 64151,MO,Kansas City MO
30,Texas Tom's,39.06879634,-94.57638435,709 E Linwood Blvd Kansas City MO 64109,MO,Kansas City MO
31,Freddy's Frozen Custard & Steakburgers,38.986371,-94.463607,10019 E 350th Hwy Raytown MO 64138,MO,Kansas City MO
32,Popeyes Louisiana Kitchen,39.06956175,-94.55331,3102 Prospect Ave Kansas City MO 64128,MO,Kansas City MO
33,Fritzs Railroad Restaurant,39.08299637,-94.58293915,2450 Grand Blvd Ste 135 Kansas City MO 64108,MO,Kansas City MO
34,Max's Burgers and Gyros,38.97761,-94.59593,8240 Wornall Rd Kansas City MO 64114,MO,Kansas City MO
35,Humdinger Drive In,39.1026924,-94.5521475,2504 E 9th St Kansas City MO 64124,MO,Kansas City MO
36,Pepperjax Grill,39.04669103,-94.44562733,4179 Sterling Ave Kansas City MO 64133,MO,Kansas City MO
37,Chipotle Mexican Grill,39.05705036,-94.60563781,1713 W 39th St Kansas City MO 64111,MO,Kansas City MO
38,Wendy's,39.0994755,-94.60380733,1601 W. 12Th Street Kansas City MO 64101,MO,Kansas City MO
39,Five Guys,39.257728,-94.652184,8952 NW Skyview Ave Kansas City MO 64154,MO,Kansas City MO
40,Mugs Up Drive In,39.0791899,-94.40659,700 E 23rd St S Independence MO 64055,MO,Kansas City MO
41,In-A-Tub,39.243038,-94.659294,8174 NW Prairie View Rd Kansas City MO 64151,MO,Kansas City MO
42,Wrap It Up Tex Mex Grill,39.103881,-94.584478,104 W 9th St Ste 102 Kansas City MO 64105,MO,Kansas City MO
43,Firehouse Subs,39.188866,-94.546455,2698 NE Vivion Rd Kansas City MO 64119,MO,Kansas City MO
44,Taco Bell,39.06812206,-94.58349503,123 E Linwood Kansas City MO 64111,MO,Kansas City MO
45,Potbelly Sandwich Shop,39.04159067,-94.591435,4725 Broadway Kansas City MO 64112,MO,Kansas City MO
46,Church's Chicken,39.0693,-94.57859,3145 Gillham Plz Kansas City MO 64109,MO,Kansas City MO
47,Wendy's,39.144293,-94.56571,1208 Armour Rd. N.Kansas City MO 64116,MO,Kansas City MO
48,Freddy's Frozen Custard & Steakburgers,39.2423317,-94.65686406,8071 NW Roanridge Rd Kansas City MO 64151,MO,Kansas City MO
49,Zaxby's Chicken Fingers & Buffalo Wings,39.2669585,-94.4483798,10430 NE Cookingham Dr Kansas City MO 64157,MO,Kansas City MO
50,Giovanni's Italian Deli and Pasta,39.204763,-94.548988,6100 NE Antioch Rd Kansas City MO 64119,MO,Kansas City MO
51,Papu's Café,38.99277878,-94.59682465,604 W 75th St Kansas City MO 64114,MO,Kansas City MO
52,Burrito Bros,39.10896271,-94.58287015,407 Main St Kansas City MO 64105,MO,Kansas City MO
