,Year,State,CountyID,County,All AgesinPovertyCount,AllAgesinPovertyPercent,LaborForce,Employed,Unemployed,UnemploymentRate
0,2018,29,29000,Missouri,"785,343",13.2,,,,3.4,
1,2018,29,29001,Adair County (MO),"5,356",23.9,"10,631","10,259",372,3.5
2,2018,29,29003,Andrew County (MO),"1,429",8.2,"9,725","9,472",253,2.6
3,2018,29,29005,Atchison County (MO),600,11.8,"2,768","2,700",68,2.5
4,2018,29,29007,Audrain County (MO),"3,883",16.7,"10,798","10,469",329,3
5,2018,29,29009,Barry County (MO),"6,658",18.8,"15,624","15,167",457,2.9
6,2018,29,29011,Barton County (MO),"2,057",17.6,"5,183","5,025",158,3
7,2018,29,29013,Bates County (MO),"2,267",14.2,"7,861","7,561",300,3.8
8,2018,29,29015,Benton County (MO),"3,834",20.2,"7,170","6,850",320,4.5
9,2018,29,29017,Bollinger County (MO),"1,871",15.6,"5,434","5,240",194,3.6
10,2018,29,29019,Boone County (MO),"28,584",16.8,"97,667","95,474","2,193",2.2
11,2018,29,29021,Buchanan County (MO),"13,117",15.6,"44,392","43,091","1,301",2.9
12,2018,29,29023,Butler County (MO),"8,567",20.5,"18,123","17,305",818,4.5
13,2018,29,29025,Caldwell County (MO),"1,281",14.4,"4,357","4,221",136,3.1
14,2018,29,29027,Callaway County (MO),"4,795",11.7,"21,145","20,538",607,2.9
15,2018,29,29029,Camden County (MO),"5,712",12.6,"18,605","17,828",777,4.2
16,2018,29,29031,Cape Girardeau County (MO),"10,334",13.8,"40,276","39,183","1,093",2.7
17,2018,29,29033,Carroll County (MO),"1,060",12.3,"4,667","4,522",145,3.1
18,2018,29,29035,Carter County (MO),"1,355",22.6,"2,507","2,382",125,5
19,2018,29,29037,Cass County (MO),"8,427",8.1,"54,304","52,656","1,648",3
20,2018,29,29039,Cedar County (MO),"2,502",17.9,"5,703","5,510",193,3.4
21,2018,29,29041,Chariton County (MO),967,13.4,"3,767","3,663",104,2.8
22,2018,29,29043,Christian County (MO),"7,388",8.6,"44,076","42,953","1,123",2.5
23,2018,29,29045,Clark County (MO),"1,001",14.9,"3,205","3,083",122,3.8
24,2018,29,29047,Clay County (MO),"17,153",7,"134,988","131,103","3,885",2.9
25,2018,29,29049,Clinton County (MO),"1,793",9,"10,673","10,335",338,3.2
26,2018,29,29051,Cole County (MO),"6,362",8.9,"38,512","37,566",946,2.5
27,2018,29,29053,Cooper County (MO),"2,242",14,"7,425","7,198",227,3.1
28,2018,29,29055,Crawford County (MO),"3,741",15.9,"10,849","10,432",417,3.8
29,2018,29,29057,Dade County (MO),"1,245",16.8,"3,569","3,474",95,2.7
30,2018,29,29059,Dallas County (MO),"2,750",16.6,"6,955","6,684",271,3.9
31,2018,29,29061,Daviess County (MO),"1,212",14.9,"4,038","3,918",120,3
32,2018,29,29063,DeKalb County (MO),"1,470",16,"4,852","4,702",150,3.1
33,2018,29,29065,Dent County (MO),"3,082",20.3,"6,213","6,011",202,3.3
34,2018,29,29067,Douglas County (MO),"2,593",19.7,"5,066","4,842",224,4.4
35,2018,29,29069,Dunklin County (MO),"7,462",26.1,"12,031","11,379",652,5.4
36,2018,29,29071,Franklin County (MO),"9,383",9.2,"52,594","51,005","1,589",3
37,2018,29,29073,Gasconade County (MO),"1,697",11.8,"7,746","7,524",222,2.9
38,2018,29,29075,Gentry County (MO),"1,007",15.5,"3,577","3,492",85,2.4
39,2018,29,29077,Greene County (MO),"43,423",15.5,"148,451","144,698","3,753",2.5
40,2018,29,29079,Grundy County (MO),"1,583",16.6,"4,544","4,383",161,3.5
41,2018,29,29081,Harrison County (MO),"1,277",15.5,"3,846","3,730",116,3
42,2018,29,29083,Henry County (MO),"3,606",16.8,"9,794","9,450",344,3.5
43,2018,29,29085,Hickory County (MO),"1,677",17.8,"3,843","3,687",156,4.1
44,2018,29,29087,Holt County (MO),572,13.3,"2,650","2,588",62,2.3
45,2018,29,29089,Howard County (MO),"1,233",13.1,"4,972","4,834",138,2.8
46,2018,29,29091,Howell County (MO),"8,371",21.3,"16,274","15,704",570,3.5
47,2018,29,29093,Iron County (MO),"1,966",19.9,"3,537","3,349",188,5.3
48,2018,29,29095,Jackson County (MO),"89,787",13,"359,032","345,609","13,423",3.7
49,2018,29,29097,Jasper County (MO),"19,498",16.6,"56,539","54,995","1,544",2.7
50,2018,29,29099,Jefferson County (MO),"19,327",8.7,"116,778","113,195","3,583",3.1
51,2018,29,29101,Johnson County (MO),"7,032",14.1,"22,772","21,941",831,3.6
52,2018,29,29103,Knox County (MO),640,16.6,"1,918","1,864",54,2.8
53,2018,29,29105,Laclede County (MO),"5,403",15.4,"16,792","16,179",613,3.7
54,2018,29,29107,Lafayette County (MO),"3,516",11,"16,757","16,219",538,3.2
