,name,latitude,longitude,address,state,loopcheck
0,Chick-fil-A,39.0344196,-94.580956,"['5100 Cherry St', 'Ste 216', 'Student Union', 'Kansas City, MO 64110']",MO,['Kansas City MO']
1,Go-Chicken-Go,39.0341524962828,-94.5730449275702,"['5101 Troost Ave', 'Kansas City, MO 64110']",MO,['Kansas City MO']
2,Raising Cane's Chicken Fingers,39.053248,-94.593906,"['4040 Mill St', 'Kansas City, MO 64111']",MO,['Kansas City MO']
3,Unforked,39.0829040990598,-94.5825436150735,"['2450 Grand Blvd', 'Kansas City, MO 64108']",MO,['Kansas City MO']
4,Harold's Drive-In,39.10516,-94.56526,"['1337 Admiral Blvd', 'Kansas City, MO 64106']",MO,['Kansas City MO']
5,Tasty's,38.9537880599181,-94.5073928565736,"['9425 Blue Ridge Blvd', 'Kansas City, MO 64138']",MO,['Kansas City MO']
6,Steak'M Take'M,38.9878799,-94.57602,"['7702 Troost Ave', 'Kansas City, MO 64131']",MO,['Kansas City MO']
7,Chick-fil-A,38.97337,-94.6077795,"['8551 State Line Rd', 'Kansas City, MO 64114']",MO,['Kansas City MO']
8,Town Topic,39.0884847090352,-94.5888227189816,"['2021 Broadway St', 'Kansas City, MO 64108']",MO,['Kansas City MO']
9,In A Tub,39.1669883728027,-94.5772018432617,"['4000 N Oak Trafficway', 'Kansas City, MO 64116']",MO,['Kansas City MO']
10,Culver's,38.983651,-94.6078042209015,"['7953 State Line Rd', 'Kansas City, MO 64114']",MO,['Kansas City MO']
11,Chick-fil-A,39.0188854,-94.6671226,"['6039 Metcalf Ave', 'Mission Crossing Center', 'Mission Crossing Center', 'Mission, KS 66202']",KS,['Kansas City MO']
12,Pancho's Mexican Food,39.06242,-94.58617,"['3540 Main St', 'Kansas City, MO 64111']",MO,['Kansas City MO']
13,Winstead's Steakburger,39.0417785644531,-94.5855484008789,"['101 Emanuel Cleaver Ii Blvd', 'Kansas City, MO 64112']",MO,['Kansas City MO']
14,Maui Express,38.9730539727701,-94.6879997849465,"['8750 Santa Fe Dr', 'Overland Park, KS 66212']",KS,['Kansas City MO']
15,Five Guys Burgers and Fries,39.0560290412108,-94.6119690790044,"['3930 Rainbow Blvd', 'Kansas City, KS 66103']",KS,['Kansas City MO']
16,Chipotle Mexican Grill,39.097373,-94.582478,"['1370 Walnut St', 'Kansas City, MO 64106']",MO,['Kansas City MO']
17,Chick-fil-A,39.2461924,-94.6539813,"['6501 NW Barry Rd', 'Kansas City, MO 64154']",MO,['Kansas City MO']
18,LC's Hamburgers,39.234207,-94.657218,"['7612 NW Prairie View Rd', 'Kansas City, MO 64151']",MO,['Kansas City MO']
19,Longboards wraps & bowls,39.20802,-94.57574,"['6269 N Oak Trfy', 'Kansas City, MO 64118']",MO,['Kansas City MO']
20,China Feast,39.09835,-94.54485,"['3119 E 12th St', 'Kansas City, MO 64127']",MO,['Kansas City MO']
21,Texas Toms,39.1674535502257,-94.5201783254743,"['5018 NE Parvin Rd', 'Kansas City, MO 64117']",MO,['Kansas City MO']
22,Go-Chicken-Go,39.1052093505859,-94.6264801025391,"['59 N 7th St', 'Kansas City, KS 66101']",KS,['Kansas City MO']
23,Burger King,39.097561,-94.582434,"['1350 Walnut St', 'Kansas City, MO 64106']",MO,['Kansas City MO']
24,Paul's Drive In,38.93408,-94.5086,"['10424 Blue Ridge Blvd', 'Kansas City, MO 64134']",MO,['Kansas City MO']
25,Raising Cane's Chicken Fingers,39.257203,-94.649011,"['8771 N Ambassador Dr', 'Kansas City, MO 64154']",MO,['Kansas City MO']
26,Jimmy John's,39.0851882,-94.5809296,"['2345 Grand Blvd', 'Ste 103', 'Kansas City, MO 64108']",MO,['Kansas City MO']
27,Strip's Chicken,38.883925,-94.7999843,"['1110 E Santa Fe', 'Olathe, KS 66061']",KS,['Kansas City MO']
28,TikiTaco,39.0574236,-94.6056076,"['1710 W 39th St', 'Kansas City, MO 64111']",MO,['Kansas City MO']
29,HiBoy Drive-In,39.0608172612177,-94.4720869099519,"['3424 S Blue Ridge Cut Off', 'Independence, MO 64055']",MO,['Kansas City MO']
30,Culver's,39.0201683044434,-94.6672134399414,"['6005 Metcalf Ave', 'Mission, KS 66202']",KS,['Kansas City MO']
31,Wings N Things Express,39.0215530395508,-94.5744857788086,"['5800 Troost', 'Kansas City, MO 64110']",MO,['Kansas City MO']
32,Freddy's Frozen Custard & Steakburgers,39.1863237537239,-94.5768168568611,"['5150 N Oak Trfw', 'Kansas City, MO 64118']",MO,['Kansas City MO']
33,Culver's,39.2103351,-94.6498445,"['5901 NW 64th St', 'Kansas City, MO 64151']",MO,['Kansas City MO']
34,Wendy's,39.070275,-94.585725,"['3118 Main St.', 'Kansas City, MO 64111']",MO,['Kansas City MO']
35,Twisted Fresh,39.209328,-94.6516452,"['6131 NW 63rd Ter', 'Kansas City, MO 64151']",MO,['Kansas City MO']
36,Texas Tom's,39.0687963366508,-94.5763843506575,"['709 E Linwood Blvd', 'Kansas City, MO 64109']",MO,['Kansas City MO']
37,Paul's Drive In,39.08443,-94.6355899,"['1008 Osage Ave', 'Kansas City, KS 66105']",KS,['Kansas City MO']
38,Freddy's Frozen Custard & Steakburgers,38.986371,-94.463607,"['10019 E 350th Hwy', 'Raytown, MO 64138']",MO,['Kansas City MO']
